video_url,up_id,up_username,video_url,video_name,video_published_at,video_playback_num,video_barrage_num,video_like_num,video_coin_num,video_favorite_num,video_forward_num,video_tag,video_length,created_at,up_video_num,up_follow_num,up_like_num,up_video_playback_num
https://b23.tv/av74517160,18163235,我是刘梦娜,https://b23.tv/av74517160,毕业5年，3次跨专业转行，我太敢了,2019-11-04 18:10:12,82468,848,5293,3406,2426,443,"['毕业季', '全能打卡挑战', '创业', '校园', 'VLOG', '大学生', '实习', '新媒体', '工作', '求职']",0,0,67,61252,149486,4394310
https://b23.tv/av74740467,24798857,一只小云鸭,https://b23.tv/av74740467,【经验分享】如何才能把简历从60分提升至90分？,2019-11-06 20:00:03,2596,14,155,106,216,16,"['全能打卡挑战', '学习', '校园', '职场', '求职', '实习', '面试', '简历', '找工作', '干货']",0,0,57,13259,28010,5544770
https://b23.tv/av74798387,89944567,张子贺Zake,https://b23.tv/av74798387,【如何自我介绍】面试谷歌Google，我学到的3个杀手锏...,2019-11-08 07:30:21,12308,143,763,577,1050,94,"['面试', '自我介绍', '面试技巧', '经验分享', '产品经理', '学习心得']",0,0,35,20978,15428,434692
https://b23.tv/av74939377,304096576,帆帆cita,https://b23.tv/av74939377,湖南卫视/腾讯等大平台实习，小学姐简历制作经验大分享来啦！,2019-11-08 18:45:29,2162,5,124,69,181,7,"['腾讯', '湖南卫视', '大学生', '求职', '简历', '实习']",0,0,10,10759,6709,437097
https://b23.tv/av75244790,314123199,牧童学长,https://b23.tv/av75244790,【干货|收藏】日常学习生活常用网站资源分享！,2019-11-10 20:07:39,13055,107,1089,789,2666,126,"['我的学习日记', '学习', 'VLOG', '收藏', '网站', '大学生', '学生党', '干货']",0,0,27,32794,79604,1022382
https://b23.tv/av75253065,281120792,我爱吃辣条a,https://b23.tv/av75253065,关于学生党实习/秋招的那些事儿 | 研究生项目搬砖日常bot,2019-11-11 09:30:15,5948,14,118,47,74,4,"['全能打卡挑战', '校园', '职场', '找工作', '简历', '实习生']",0,0,241,10172,17112,1175145
https://b23.tv/av75316180,32319748,大脸Yijia,https://b23.tv/av75316180,【建议收藏】写简历公开的秘密？不外传的简历心机攻略？心动的offer第一步！我靠这个拿到了大厂面试机会！,2019-11-12 19:00:14,5834,200,709,672,916,45,"['校园vlog', 'vlog', '我的学习日记', '逆袭', '生活', '校园', '正能量', '学习', '分享', '学生党', '秋招']",0,0,16,37490,37630,851146
https://b23.tv/av75732768,434342182,武汉小刘的生活日记,https://b23.tv/av75732768,投简历给大公司怎样才能得到回应，程序员小伙分享一个神器，让大家每天多接到几个面试电话,2019-11-15 17:00:05,5593,2,77,37,93,4,"['vlog', '程序员', '生活', '工作', '简历']",0,0,145,5925,11529,1542562
https://b23.tv/av75873413,14963486,Marscolono,https://b23.tv/av75873413,干货收藏｜进研发部简历大公开｜考研复试简历｜博士申请英文简历｜学长教你如何高效找到一份好工作？好老板？好研究生导师？｜珍藏简历大礼包和超级工具分享,2019-11-16 16:25:07,12868,72,1060,912,1294,76,"['我的学习日记', '考研', '生活', '职场', '吐槽', '面试', '找工作', '南农']",0,0,113,53095,55268,1217068
https://b23.tv/av75771115,286169835,许可学姐,https://b23.tv/av75771115,小白求职【2】:如何包装简历？会包装才能找好工作！,2019-11-16 21:30:34,3180,31,368,365,370,19,"['全能打卡挑战', '求职', '简历', '面试', '大学生']",0,0,18,24460,25938,299963
https://b23.tv/av76037414,398344898,曾同学爱流浪,https://b23.tv/av76037414,你不知道的“直男”生活五十问（上）,2019-11-17 19:17:10,14295,392,844,534,187,21,"['生活记录', '帅哥', 'CP', 'VLOG', '曾同学爱流浪', '我们']",0,0,39,31514,69737,2108349
https://b23.tv/av76353765,12002615,我是小锥子nnnnn,https://b23.tv/av76353765,不知道怎样做简历？感到迷茫？不知道怎么找到自己的方向？没关系！看完这集希望能帮你找到方向,2019-11-20 14:14:02,2995,5,69,40,182,5,"['聊聊我的职业', 'vlog', '生活记录', '找工作', '求职', '简历', '面试']",0,0,8,364,359,65208
https://b23.tv/av76585479,184260637,茂与牌,https://b23.tv/av76585479,简历石沉大海？4个优化简历的套路，让面试官闭嘴惊艳,2019-11-22 15:36:23,1781,5,128,79,162,8,"['vlog', '聊聊我的职业', '生活记录', '学习', '职场', '大学生', '工作', '找工作', '招聘', '求职', '面试']",0,0,31,21317,16455,1481366
https://b23.tv/av76672033,339167998,钦天揽月,https://b23.tv/av76672033,双非学生找工作竟然完爆985名校生？简历很重要！,2019-11-23 08:52:22,4246,11,85,33,90,7,"['vlog', '校园vlog', '好奇心计划', '学习', '毕业', '大学', '招聘', '工作', '经验分享', '双选会']",0,0,53,9554,27161,2274288
https://b23.tv/av77120400,,,https://b23.tv/av77120400,,,,,,,,,[],0,0,,,,
